pid,pathway,artist,label,title,_date,object_type,location,current_location,source,thumbnail
img1,entangled ecologies,David Berg,"David Berg, Regrowth I, 2017. Photograph, St. Croix.",Regrowth I,2017,,St. Croix,,,
img2,entangled ecologies,David Berg,"David Berg, Deafening Silence, 2017. Photograph. St. Croix.",Regrowth II,2017,,St. Croix,,,
img3,predictable precarity,David Berg,"David Berg, Still Here, 2017. Photograph. St. Croix.",Still Here,2017,,St. Croix,,,
img4,predictable precarity,David Berg,"David Berg, Deafening Silence, 2017. Photograph. St. Croix.",Deafening Silence,2017,,St. Croix,,,
img5,creative resistance,Sally Binard,"Sally Binard, Afraid to Launch, 2017. Oil and Mixed Media on Found Wood, 26"" x 4.5"" x 1.5"". Florida Keys.",Afraid to Launch,2017,,Florida Keys,,,
img6,creative resistance,Sally Binard,"Sally Binard, Reclamation, 2017. Oil and Mixed Media on Found Wood, 15"" x 48"" x 2"". Florida Keys.",Reclamation,2017,,Florida Keys,,,
img7,creative resistance,Jo Cosme,"Jo Cosme, Welcome to Paradise, 2017. Photograph. Puerto Rico.",Welcome to Paradise,2017,,Puerto Rico,,,
img8,creative resistance,Jo Cosme,"Jo Cosme, Welcome to Paradise, 2017. Photograph. Puerto Rico.",Welcome to Paradise,2017,,Puerto Rico,,,
img9,predictable precarity,Jo Cosme,"Jo Cosme, Crónicas de un Futuro Catastrófico, 2017. Mixed Media. Puerto Rico.",Crónicas de un Futuro Catastrófico,2017,,Puerto Rico,,,
img10,predictable precarity,Jo Cosme,"Jo Cosme, Crónicas de un Futuro Catastrófico, 2017. Mixed Media. Puerto Rico.",Crónicas de un Futuro Catastrófico,2017,,Puerto Rico,,,
img11,predictable precarity,Jo Cosme,"Jo Cosme, Crónicas de un Futuro Catastrófico, 2017. Mixed Media. Puerto Rico.",Crónicas de un Futuro Catastrófico,2017,,Puerto Rico,,,
img12,predictable precarity,Nicole Delgado,"Nicole Delgado, 2017. Photograph. Puerto Rico.",One Way Ticket (?),2017,,Puerto Rico,,,
img13,entangled ecologies,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,
img14,entangled ecologies,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,
img15,creative resistance,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,
img16,creative resistance,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,
img17,creative resistance,Sarabel Santos-Negrón,"Sarabel Santos-Negrón, Groundscapes Displaced, 2017. Mixed Media, Dimensions Vary. Puerto Rico.",Grounscapes Displaced,2017,,Puerto Rico,,,